Variable,Category,COVID-19 uptake OR (95% CI),Influenza uptake OR (95% CI)
Deprivation quintile,5th (Least),1,1
Deprivation quintile,4th,0.86 (0.82-0.89),0.89 (0.87-0.92)
Deprivation quintile,3rd,0.74 (0.71-0.76),0.79 (0.76-0.81)
Deprivation quintile,2nd,0.60 (0.58-0.63),0.72 (0.69-0.74)
Deprivation quintile,1st (Most),0.44 (0.43-0.46),0.58 (0.56-0.60)
Age,18-24,0.76 (0.74-0.79),0.77 (0.75-0.80)
Age,25-29,1,1
Age,30-34,1.38 (1.34-1.42),1.15 (1.12-1.18)
Age,35-39,1.61 (1.56-1.67),1.09 (1.06-1.13)
Age,40-49,2.05 (1.94-2.15),0.73 (0.69-0.76)
BMI,<18.5,0.83 (0.78-0.88),0.82 (0.78-0.86)
BMI,18.5-24.9,1,1
BMI,25.0-29.9,1.03 (1.00-1.06),1.02 (1.00-1.05)
BMI,30.0-39.9,1.05 (1.02-1.08),1.02 (0.99-1.05)
BMI,40.0+,1.00 (0.94-1.07),1.16 (1.10-1.23)
Ethnicity,White,1,1
Ethnicity,Asian,1.01 (0.97-1.06),1.08 (1.04-1.12)
Ethnicity,Black,0.48 (0.45-0.51),0.61 (0.57-0.65)
Ethnicity,Mixed,0.80 (0.74-0.87),0.85 (0.79-0.91)
Ethnicity,Other,0.69 (0.63-0.76),0.80 (0.74-0.86)
Number of comorbidities,0,1,1
Number of comorbidities,1,0.82 (0.80-0.84),1.12 (1.09-1.15)
Household size,1,0.78 (0.76-0.80),0.82 (0.80-0.84)
Number of comorbidities,2,0.94 (0.88-1.00),1.21 (1.14-1.29)
Household size,2,1,1
Number of comorbidities,3,1.16 (0.98-1.36),1.55 (1.34-1.81)
Household size,3,0.87 (0.84-0.91),0.78 (0.75-0.80)
Household size,4,0.83 (0.79-0.88),0.73 (0.70-0.76)
Number of comorbidities,4+,1.12 (0.81-1.55),1.20 (0.88-1.64)
Household size,5,0.77 (0.72-0.83),0.72 (0.68-0.77)
Household size,6-10,0.70 (0.65-0.76),0.61 (0.57-0.65)
Household size,11+,0.75 (0.62-0.92),0.47 (0.39-0.57)
Urban/rural area,Urban,1,1
Urban/rural area,Rural,1.14 (1.10-1.17),1.11 (1.08-1.14)
