Variable,Category,COVID-19 uptake OR (95% CI) for quintile 1,COVID-19 uptake OR (95% CI) for quintile 5,Influenza uptake OR (95% CI) for quintile 1,Influenza uptake OR (95% CI) for quintile 5
Sex,Female,1,1,1,1
Sex,Male,0.93 (0.92-0.95),0.77 (0.76-0.78),0.84 (0.84-0.85),0.80 (0.79-0.80)
Age,18-49,0.13 (0.13-0.14),0.13 (0.12-0.13),0.08 (0.08-0.08),0.06 (0.06-0.06)
Age,50-64,0.38 (0.37-0.39),0.42 (0.41-0.44),0.24 (0.23-0.24),0.20 (0.19-0.20)
Age,65-79,0.84 (0.81-0.87),0.89 (0.86-0.93),0.88 (0.86-0.90),0.96 (0.94-0.98)
Age,80+,1,1,1,1
BMI,<18.5,0.65 (0.62-0.68),0.63 (0.61-0.67),0.70 (0.67-0.74),0.75 (0.72-0.78)
BMI,18.5-24.9,1,1,1,1
BMI,25.0-29.9,1.33 (1.31-1.35),1.22 (1.20-1.24),1.23 (1.22-1.25),1.11 (1.10-1.12)
BMI,30.0-39.9,1.50 (1.48-1.53),1.31 (1.28-1.33),1.32 (1.30-1.34),1.12 (1.11-1.14)
BMI,40.0+,1.75 (1.71-1.79),1.47 (1.41-1.52),1.65 (1.61-1.69),1.46 (1.42-1.50)
Ethnicity,White,1,1,1,1
Ethnicity,Asian,0.62 (0.60-0.63),0.57 (0.55-0.60),0.91 (0.89-0.93),0.72 (0.69-0.74)
Ethnicity,Black,0.34 (0.33-0.35),0.25 (0.24-0.27),0.49 (0.47-0.51),0.43 (0.40-0.46)
Ethnicity,Mixed,0.64 (0.61-0.67),0.47 (0.44-0.50),0.80 (0.76-0.84),0.68 (0.64-0.71)
Ethnicity,Other,0.44 (0.42-0.46),0.36 (0.33-0.39),0.62 (0.58-0.65),0.54 (0.50-0.58)
Household composition,Alone,0.73 (0.71-0.74),0.56 (0.55-0.57),0.75 (0.74-0.76),0.69 (0.68-0.69)
Household composition,2 members,1,1,1,1
Household composition,3 members,0.85 (0.83-0.86),0.73 (0.71-0.74),0.84 (0.83-0.86),0.80 (0.79-0.81)
Household composition,4 members,0.75 (0.73-0.76),0.62 (0.60-0.64),0.72 (0.70-0.74),0.69 (0.68-0.70)
Household composition,5 members,0.60 (0.58-0.62),0.49 (0.47-0.51),0.64 (0.62-0.66),0.61 (0.59-0.63)
Household composition,6-10 members,0.47 (0.45-0.49),0.37 (0.35-0.39),0.57 (0.55-0.59),0.57 (0.54-0.59)
Household composition,11+ members,0.75 (0.70-0.81),0.48 (0.43-0.53),0.84 (0.79-0.89),0.66 (0.61-0.70)
No. of clinical conditions,No conditions,1,1,1,1
No. of clinical conditions,1 condition,1.22 (1.20-1.24),1.33 (1.31-1.36),2.16 (2.13-2.19),1.99 (1.97-2.01)
No. of clinical conditions,2 conditions,1.42 (1.39-1.45),1.64 (1.59-1.69),3.19 (3.13-3.25),2.90 (2.84-2.96)
No. of clinical conditions,3 conditions,1.55 (1.50-1.60),1.72 (1.62-1.82),3.51 (3.41-3.60),3.09 (2.99-3.20)
No. of clinical conditions,4+ conditions,1.57 (1.50-1.65),1.62 (1.48-1.78),3.65 (3.51-3.80),3.30 (3.11-3.49)
Urban/rural class,Urban,1,1,1,1
Urban/rural class,Rural,1.19 (1.16-1.23),1.08 (1.06-1.10),1.12 (1.09-1.14),1.04 (1.03-1.06)
